id,year,age,educ,networth
1,1989,35,2,0
2,1989,35,2,0
3,1989,51,2,16899.9
4,1989,33,2,25845.6
5,1989,33,2,25845.6
6,1989,33,2,25845.6
7,1989,63,1,-4611.2
8,1989,21,2,0
9,1989,52,4,126691.9
10,1989,52,4,126691.9
11,1989,41,2,133839.2
12,1989,38,1,1083.6
13,1989,23,3,42468.9
14,1989,31,2,18490.8
15,1989,31,2,18490.8
16,1989,75,1,305490
17,1989,75,1,305490
18,1989,75,1,305490
19,1989,22,2,23.1
20,1989,55,1,55864.3
21,1989,36,1,-2467
22,1989,34,2,19090.2
23,1989,54,2,-1383.4
24,1989,75,2,948748.2
25,1989,75,2,948748.2
26,1989,46,2,20588.9
27,1989,42,2,7677.6
28,1989,41,1,36891.7
29,1989,64,4,384410.2
30,1989,30,3,26906.2
31,1989,30,3,26906.2
32,1989,22,2,46111.7
33,1989,36,3,327070.3
34,1989,54,2,184608.2
35,1989,26,3,-34929.6
36,1989,60,4,302262.2
37,1989,47,4,207502.6
38,1989,57,2,227215.4
39,1989,56,4,913011.6
40,1989,70,2,136928.7
41,1989,66,1,34007.4
42,1989,45,1,32162.9
43,1989,47,2,299403.2
44,1989,24,2,4611.2
45,1989,89,2,477302.2
46,1989,85,1,23055.8
47,1989,35,3,109515.3
48,1989,81,1,209808.2
49,1989,69,1,195513.6
50,1989,51,3,569617.8
51,1989,34,3,1180159.7
52,1989,34,3,1180159.7
53,1989,35,2,28197.3
54,1989,28,3,87266.4
55,1989,50,4,990248.7
56,1989,36,3,-17983.6
57,1989,39,2,115555.9
58,1989,39,2,115555.9
59,1989,34,1,54803.8
60,1989,40,3,31817.1
61,1989,77,2,9084
62,1989,31,2,59668.5
63,1989,67,2,58538.8
64,1989,53,3,10144.6
65,1989,38,4,1152792.4
66,1989,32,4,397510.5
67,1989,74,2,166117.4
68,1989,42,1,9245.4
69,1989,42,1,9245.4
70,1989,20,2,-11527.9
71,1989,57,1,6755.4
72,1989,45,2,137505.1
73,1989,51,4,91485.6
74,1989,51,4,91485.6
75,1989,27,1,-1959.7
76,1989,36,2,271920.7
77,1989,30,2,46688.1
78,1989,48,4,79289.1
79,1989,51,1,863303.2
80,1989,24,2,33039
81,1989,27,2,4980.1
82,1989,44,2,458350.3
83,1989,55,2,333272.3
84,1989,28,3,29972.6
85,1989,28,3,29972.6
86,1989,43,3,84591.9
87,1989,35,4,12657.7
88,1989,40,4,122126.8
89,1989,21,4,4219.2
90,1989,50,2,1354992.2
91,1989,21,2,-207.5
92,1989,68,2,191363.5
93,1989,74,2,1721049.9
94,1989,71,3,622623.2
95,1989,27,2,-34952.7
96,1989,24,3,-31356
97,1989,37,2,3873.4
98,1989,46,2,12980.4
99,1989,50,2,232979.3
100,1989,27,4,280013.3
101,1989,27,4,280013.3
102,1989,75,4,55564.6
103,1989,23,4,9914
104,1989,34,4,11989
105,1989,42,2,0
106,1989,34,2,48417.3
107,1989,52,1,-830
108,1989,33,4,122426.6
109,1989,30,4,28727.6
110,1989,50,2,7608.4
111,1989,41,1,241948.1
112,1989,33,2,5072.3
113,1989,34,2,112282
114,1989,61,2,0
115,1989,62,2,0
116,1989,42,2,166578.5
117,1989,37,2,265605.7
118,1989,71,1,222834.8
119,1989,71,1,222834.8
120,1989,42,2,454015.8
121,1989,39,2,86413.3
122,1989,34,2,238166.9
123,1989,63,4,1400412.2
124,1989,42,3,140732.9
125,1989,36,3,135798.9
126,1989,28,4,85145.2
127,1989,33,1,46572.8
128,1989,33,1,46572.8
129,1989,41,2,260761.6
130,1989,41,2,260761.6
131,1989,32,1,260761.6
132,1989,54,4,1581492.9
133,1989,49,4,112305
134,1989,36,4,-106633.3
135,1989,18,2,0
136,1989,29,1,21672.5
137,1989,21,2,5003.1
138,1989,37,2,253291.5
139,1989,23,2,24231.7
140,1989,37,1,116893.2
141,1989,25,1,-7308.7
142,1989,25,1,-7308.7
143,1989,47,4,25361.4
144,1989,31,3,204113.4
145,1989,31,3,204113.4
146,1989,39,4,33661.5
147,1989,26,3,75162.1
148,1989,53,4,728564.8
149,1989,28,4,1451942
150,1989,43,1,546561.9
151,1989,44,4,394600.8
152,1989,56,2,143637.9
153,1989,30,3,22364.2
154,1989,33,3,838172.3
155,1989,69,3,139626.2
156,1989,69,3,139626.2
157,1989,69,3,139626.2
158,1989,73,4,1588156
159,1989,55,2,43806.1
160,1989,38,4,204067.3
161,1989,42,3,530284.5
162,1989,51,4,2280684.5
163,1989,34,3,50377
164,1989,37,4,38826
165,1989,34,4,6225.1
166,1989,65,4,528774.4
167,1989,35,2,0
168,1989,27,3,-10605.7
169,1989,73,1,309524.8
170,1989,81,2,474258.8
171,1989,34,4,7170.4
172,1989,27,2,134761.4
173,1989,28,2,48417.3
174,1989,63,2,1103568.2
175,1989,30,3,29073.4
176,1989,30,3,29073.4
177,1989,66,1,13833.5
178,1989,64,1,233325.2
179,1989,25,4,9660.4
180,1989,25,4,9660.4
181,1989,30,2,0
182,1989,41,3,101393741.4
183,1989,40,2,110575.8
184,1989,81,1,431144.4
185,1989,68,2,19090.2
186,1989,83,2,438.1
187,1989,83,2,438.1
188,1989,35,2,167846.6
189,1989,33,3,-10075.4
190,1989,31,2,-9084
191,1989,64,4,1347153.2
192,1989,61,3,1463769.7
193,1989,67,4,10151490
